About,Acerca de,
Address,Dirección,
Amended From,Modificado Desde,
Apps,Apps,
Balance Loan Amount,Saldo del balance del préstamo,
Bank Name,Nombre del banco,
Branch,Sucursal,
Cancelled,Cancelado,
Customer Name,Nombre del cliente,
Disabled,Deshabilitado,
Documentation,Documentación,
Draft,Borrador,
Email,Correo electrónico,
Enabled,Habilitado,
Frappe Support,Soporte de Frappe,
Image,Imagen,
Interest,Interesar,
Interest Amount,Cantidad de interés,
Is Accrued,Está acumulado,
Issuing Date,Fecha de Emisión,
Journal Entry,Asiento contable,
Keyboard Shortcuts,Atajos de teclado,
Loan Amount,Monto del préstamo,
Log out,Cerrar sesión,
Mobile Number,Número de teléfono móvil,
My Profile,Mi Perfil,
My Settings,Mis ajustes,
Name,Nombre,
Naming Series,Secuencias e identificadores,
Nationality,Nacionalidad,
Occupation,Ocupación,
Order Type,Tipo de orden,
Paid,Pagado,
Partially Paid,Parcialmente pagado,
Payment Date,Fecha de pago,
Percentage,Porcentaje,
Price,Precio,
Principal Amount,Cantidad principal,
Products,Productos,
Reload,Recargar,
Schedule,Horario,
Section,Sección,
Section Name,Nombre de la Sección,
Session Defaults,Valores predeterminados de sesión,
Status,Estado,
System Manager,Administrador del sistema,
Tax,Impuesto,
Taxes,Impuestos,
Toggle Full Width,Cambiar a ancho completo,
Toggle Theme,Cambiar tema,
Total Payment,Pago total,
Type,Tipo,
Unpaid,Impagado,
View Website,Ver Sitio Web,
