Address,સરનામું,
Amended From,સુધારો,
Balance Loan Amount,બેલેન્સ લોન રકમ,
Bank Name,બેન્ક નામ,
Branch,શાખા,
Cancelled,રદ,
Customer Name,ગ્રાહક નું નામ,
Disabled,અક્ષમ,
Draft,ડ્રાફ્ટ,
Email,ઇમેઇલ,
Enabled,સક્ષમ,
Image,છબી,
Interest,વ્યાજ,
Interest Amount,વ્યાજ રકમ,
Is Accrued,સંચિત થાય છે,
Issuing Date,તારીખ આપવી,
Journal Entry,જર્નલ પ્રવેશ,
Keyboard Shortcuts,કીબોર્ડ શૉર્ટકટ્સ,
Loan Amount,લોન રકમ,
Mobile Number,મોબાઇલ નંબર,
Name,નામ,
Naming Series,નામકરણ સિરીઝ,
Nationality,રાષ્ટ્રીયતા,
Occupation,વ્યવસાય,
Order Type,ઓર્ડર પ્રકાર,
Paid,ચૂકવેલ,
Partially Paid,અંશત P ચૂકવેલ,
Payment Date,ચુકવણીની તારીખ,
Percentage,ટકાવારી,
Price,ભાવ,
Principal Amount,મુખ્ય રકમ,
Products,પ્રોડક્ટ્સ,
Reload,ફરી લાવો,
Schedule,સૂચિ,
Section,વિભાગ,
Section Name,વિભાગનું નામ,
Session Defaults,સત્ર ડિફોલ્ટ્સ,
Status,સ્થિતિ,
System Manager,સિસ્ટમ વ્યવસ્થાપક,
Tax,ટેક્સ,
Taxes,કર,
Total Payment,કુલ ચુકવણી,
Type,પ્રકાર,
Unpaid,અવેતન,
View Website,વેબસાઇટ જુઓ,
