Address,כתובת,
Amended From,תוקן מ,
Balance Loan Amount,סכום הלוואה יתרה,
Bank Name,שם בנק,
Branch,סניף,
Cancelled,בוטל,
Customer Name,שם לקוח,
Disabled,נכים,
Draft,טְיוּטָה,
Email,"דוא""ל",
Enabled,מופעל,
Image,תמונה,
Interest,ריבית,
Interest Amount,סכום ריבית,
Is Accrued,נצבר,
Issuing Date,תאריך הנפקה,
Journal Entry,יומן,
Keyboard Shortcuts,קיצורי דרך במקלדת,
Loan Amount,סכום הלוואה,
Mobile Number,מספר טלפון נייד,
Name,שם,
Naming Series,סדרת שמות,
Nationality,לאום,
Occupation,כיבוש,
Order Type,סוג להזמין,
Paid,בתשלום,
Partially Paid,שולם חלקית,
Payment Date,תאריך תשלום,
Percentage,אֲחוּזִים,
Price,מחיר,
Principal Amount,סכום עיקרי,
Products,מוצרים,
Reload,רענן,
Schedule,לוח זמנים,
Section,סָעִיף,
Section Name,שם המדור,
Session Defaults,ברירות מחדל של מושב,
Status,סטטוס,
System Manager,מנהל מערכת,
Tax,מס,
Taxes,מסים,
Total Payment,תשלום כולל,
Type,סוג,
Unpaid,שלא שולם,
View Website,אתר צפה ב,
