Address,Cím,
Amended From,Módosított feladója,
Balance Loan Amount,Hitel összeg mérlege,
Bank Name,Bank neve,
Branch,Ágazat,
Cancelled,Törölve,
Customer Name,Vevő neve,
Disabled,Tiltva,
Draft,vázlat,
Email,Email,
Enabled,Engedélyezve,
Image,Kép,
Interest,Érdek,
Interest Amount,Kamatösszeg,
Is Accrued,Felhalmozott,
Issuing Date,Kibocsátási dátum,
Journal Entry,Könyvelési tétel,
Keyboard Shortcuts,Gyorsbillentyűket,
Loan Amount,Hitelösszeg,
Mobile Number,Mobil szám,
Name,Név,
Naming Series,Elnevezési sorozatok,
Nationality,Állampolgárság,
Occupation,Foglalkozása,
Order Type,Rendelés típusa,
Paid,Fizetett,
Partially Paid,Részben fizetett,
Payment Date,Fizetés dátuma,
Percentage,Százalék,
Price,Árazás,
Principal Amount,Tőkeösszeg,
Products,Termékek,
Reload,Reload,
Schedule,Ütemezés,
Section,Szakasz,
Section Name,Szekció neve,
Session Defaults,Munkamenet alapértelmezései,
Status,Állapot,
System Manager,Rendszer menedzser,
Tax,Adó,
Taxes,Adók,
Total Payment,Teljes fizetés,
Type,Típus,
Unpaid,Fizetetlen,
View Website,Weboldal megtekintése,
