Address,Alamat,
Amended From,Diubah Dari,
Balance Loan Amount,Saldo Jumlah Pinjaman,
Bank Name,Nama Bank,
Branch,Cabang,
Cancelled,Dibatalkan,
Customer Name,Nama Pelanggan,
Disabled,Dinonaktifkan,
Draft,Draf,
Email,Surel,
Enabled,Diaktifkan,
Image,Gambar,
Interest,Bunga,
Interest Amount,Jumlah Bunga,
Is Accrued,Dikumpulkan,
Issuing Date,Tanggal penerbitan,
Journal Entry,Jurnal Entri,
Keyboard Shortcuts,Pintasan keyboard,
Loan Amount,Jumlah pinjaman,
Mobile Number,Nomor handphone,
Name,Nama,
Naming Series,Series Penamaan,
Nationality,Kebangsaan,
Occupation,Pendudukan,
Order Type,Tipe Order,
Paid,Dibayar,
Partially Paid,Dibayar Sebagian,
Payment Date,Tanggal pembayaran,
Percentage,Persentase,
Price,Harga,
Principal Amount,Jumlah Pokok,
Products,Produk,
Reload,Mengisi kembali,
Schedule,Jadwal,
Section,Bagian,
Section Name,nama bagian,
Session Defaults,Default Sesi,
Status,Status,
System Manager,System Manager,
Tax,PPN,
Taxes,PPN,
Total Payment,Total pembayaran,
Type,Jenis,
Unpaid,Tunggakan,
View Website,Lihat Situs Web,
