Address,Indirizzo,
Amended From,Corretto da,
Balance Loan Amount,Importo del prestito di bilancio,
Bank Name,Nome Banca,
Branch,Ramo,
Cancelled,Annullato,
Customer Name,Nome Cliente,
Disabled,Disabilitato,
Draft,Bozza,
Email,E-mail,
Enabled,Attivato,
Image,Immagine,
Interest,Interesse,
Interest Amount,Ammontare Interessi,
Is Accrued,È maturato,
Issuing Date,Data di rilascio,
Journal Entry,Registrazione Contabile,
Keyboard Shortcuts,Tasti rapidi,
Loan Amount,Ammontare del prestito,
Mobile Number,Numero di cellulare,
Name,Nome,
Naming Series,Denominazione Serie,
Nationality,Nazionalità,
Occupation,Occupazione,
Order Type,Tipo di ordine,
Paid,Pagato,
Partially Paid,Parzialmente pagato,
Payment Date,Data di pagamento,
Percentage,Percentuale,
Price,Prezzo,
Principal Amount,Quota capitale,
Products,Prodotti,
Reload,Aggiorna,
Schedule,Pianificare,
Section,Sezione,
Section Name,Nome della sezione,
Session Defaults,Sessioni predefinite,
Status,Stato,
System Manager,System Manager,
Tax,Tassa,
Taxes,Tasse,
Total Payment,Pagamento totale,
Type,Tipo,
Unpaid,Non pagata,
View Website,Visualizza sito web,
