Address,អាសយដ្ឋាន,
Amended From,ធ្វើវិសោធនកម្មពី,
Balance Loan Amount,តុល្យភាពប្រាក់កម្ចីចំនួនទឹកប្រាក់,
Bank Name,ឈ្មោះធនាគារ,
Branch,សាខា,
Cancelled,បានកាត់បន្ថយ,
Customer Name,ឈ្មោះអតិថិជន,
Disabled,ជនពិការ,
Draft,សេចក្តីព្រាង,
Email,អេមមីល,
Enabled,បានបើក,
Image,រូបភាព,
Interest,ការប្រាក់,
Interest Amount,ចំនួនការប្រាក់,
Is Accrued,ត្រូវបានអនុម័ត,
Issuing Date,កាលបរិច្ឆេទចេញ,
Journal Entry,ធាតុទិនានុប្បវត្តិ,
Keyboard Shortcuts,ផ្លូវកាត់ក្តារចុច។,
Loan Amount,ចំនួនប្រាក់កម្ចី,
Mobile Number,លេខទូរសព្ទចល័ត,
Name,ឈ្មោះ,
Naming Series,ដាក់ឈ្មោះកម្រងឯកសារ,
Nationality,សញ្ជាតិ,
Occupation,ការកាន់កាប់,
Order Type,ប្រភេទលំដាប់,
Paid,Paid,
Partially Paid,បង់ខ្លះ,
Payment Date,កាលបរិច្ឆេទការទូទាត់,
Percentage,ចំនួនភាគរយ,
Price,តំលៃលក់,
Principal Amount,ប្រាក់ដើម,
Products,ផលិតផល,
Reload,ផ្ទុកឡើងវិញ,
Schedule,កាលវិភាគ,
Section,ផ្នែក,
Section Name,ឈ្មោះផ្នែក,
Session Defaults,លំនាំដើមវេន។,
Status,ស្ថានភាព,
System Manager,ប្រព័ន្ធអ្នកគ្រប់គ្រង,
Tax,ការបង់ពន្ធ,
Taxes,ពន្ធ,
Total Payment,ការទូទាត់សរុប,
Type,ប្រភេទ,
Unpaid,គ្មានប្រាក់ខែ,
View Website,មើលគេហទំព័រ,
