Address,ವಿಳಾಸ,
Amended From,ಗೆ ತಿದ್ದುಪಡಿ,
Balance Loan Amount,ಬ್ಯಾಲೆನ್ಸ್ ಸಾಲದ ಪ್ರಮಾಣ,
Bank Name,ಬ್ಯಾಂಕ್ ಹೆಸರು,
Branch,ಶಾಖೆ,
Cancelled,ರದ್ದುಗೊಳಿಸಲಾಗಿದೆ,
Customer Name,ಗ್ರಾಹಕ ಹೆಸರು,
Disabled,ಅಂಗವಿಕಲ,
Draft,ಡ್ರಾಫ್ಟ್,
Email,ಇಮೇಲ್,
Enabled,ಶಕ್ತಗೊಂಡಿದೆ,
Image,ಚಿತ್ರ,
Interest,ಆಸಕ್ತಿ,
Interest Amount,ಬಡ್ಡಿ ಪ್ರಮಾಣ,
Is Accrued,ಸಂಚಿತವಾಗಿದೆ,
Issuing Date,ವಿತರಿಸುವ ದಿನಾಂಕ,
Journal Entry,ಜರ್ನಲ್ ಎಂಟ್ರಿ,
Keyboard Shortcuts,ಕೀಬೋರ್ಡ್ ಶಾರ್ಟ್‌ಕಟ್‌ಗಳು,
Loan Amount,ಸಾಲದ ಪ್ರಮಾಣ,
Mobile Number,ಮೊಬೈಲ್ ನಂಬರ,
Name,ಹೆಸರು,
Naming Series,ಸರಣಿ ಹೆಸರಿಸುವ,
Nationality,ರಾಷ್ಟ್ರೀಯತೆ,
Occupation,ಉದ್ಯೋಗ,
Order Type,ಆರ್ಡರ್ ಪ್ರಕಾರ,
Paid,ಹಣ,
Partially Paid,ಭಾಗಶಃ ಪಾವತಿಸಲಾಗಿದೆ,
Payment Date,ಪಾವತಿ ದಿನಾಂಕ,
Percentage,ಶೇಕಡಾವಾರು,
Price,ಬೆಲೆ,
Principal Amount,ಪ್ರಮುಖ ಪ್ರಮಾಣವನ್ನು,
Products,ಉತ್ಪನ್ನಗಳು,
Reload,ರೀಲೋಡ್,
Schedule,ಕಾರ್ಯಕ್ರಮ,
Section,ವಿಭಾಗ,
Section Name,ವಿಭಾಗ ಹೆಸರು,
Session Defaults,ಸೆಷನ್ ಡೀಫಾಲ್ಟ್‌ಗಳು,
Status,ಅಂತಸ್ತು,
System Manager,ವ್ಯವಸ್ಥೆ ಮ್ಯಾನೇಜರ್,
Tax,ತೆರಿಗೆ,
Taxes,ತೆರಿಗೆಗಳು,
Total Payment,ಒಟ್ಟು ಪಾವತಿ,
Type,ದರ್ಜೆ,
Unpaid,ವೇತನರಹಿತ,
View Website,ವೀಕ್ಷಿಸಿ ವೆಬ್ಸೈಟ್,
