Address,주소,
Amended From,개정,
Balance Loan Amount,잔액 대출 금액,
Bank Name,은행 이름,
Branch,Branch,
Cancelled,취소 된,
Customer Name,고객 이름,
Disabled,사용 안함,
Draft,초안,
Email,이메일,
Enabled,사용,
Image,영상,
Interest,관심,
Interest Amount,이자 금액,
Is Accrued,발생,
Issuing Date,발행 날짜,
Journal Entry,분개,
Keyboard Shortcuts,키보드 단축키,
Loan Amount,대출금,
Mobile Number,휴대 전화 번호,
Name,이름,
Naming Series,시리즈 이름 지정,
Nationality,국적,
Occupation,직업,
Order Type,주문 유형,
Paid,지불,
Partially Paid,부분 지불,
Payment Date,지불 날짜,
Percentage,백분율,
Price,가격,
Principal Amount,원금,
Products,제품,
Reload,다시로드,
Schedule,일정,
Section,부분,
Section Name,섹션 이름,
Session Defaults,세션 기본값,
Status,상태,
System Manager,시스템 관리자,
Tax,세금,
Taxes,세금,
Total Payment,총 결제,
Type,종류,
Unpaid,미지불,
View Website,웹 사이트보기,
