Address,Navnîşan,
Amended From,de guherîn From,
Balance Loan Amount,Balance Loan Mîqdar,
Bank Name,Navê Bank,
Branch,Liq,
Cancelled,CANCELED,
Customer Name,Navê mişterî,
Disabled,Bêmecel,
Draft,Draft,
Email,Email,
Enabled,çalake,
Image,Wêne,
Interest,Zem,
Interest Amount,Şêwaz Interest,
Is Accrued,Qebûlkirin e,
Issuing Date,Daxuyaniya Dîroka,
Journal Entry,Peyam di Journal,
Keyboard Shortcuts,Kurtikên Pêl,
Loan Amount,Şêwaz deyn,
Mobile Number,Hejmara mobîl,
Name,Nav,
Naming Series,Series Bidin,
Nationality,Niştimanî,
Occupation,Sinet,
Order Type,Order Type,
Paid,tê dayin,
Partially Paid,Bi qismî tê dayîn,
Payment Date,Date Payment,
Percentage,Rêza sedikê,
Price,Biha,
Principal Amount,Şêwaz sereke,
Products,Products,
Reload,Rûpelê,
Schedule,Pîlan,
Section,Liq,
Section Name,Navekî Navîn,
Session Defaults,Session Defaults,
Status,Cî,
System Manager,sîstema Manager,
Tax,Bac,
Taxes,Bacê,
Total Payment,Total Payment,
Type,Awa,
Unpaid,Unpaid,
View Website,View Website,
