Address,adresas,
Amended From,Iš dalies pakeistas Nuo,
Balance Loan Amount,Balansas Paskolos suma,
Bank Name,Banko pavadinimas,
Branch,Filialas,
Cancelled,Atšauktas,
Customer Name,Klientas,
Disabled,neįgalusis,
Draft,Projektas,
Email,El. Paštas,
Enabled,Įjungtas,
Image,Vaizdas,
Interest,palūkanos,
Interest Amount,Palūkanų suma,
Is Accrued,Yra sukaupta,
Issuing Date,Išleidimo data,
Journal Entry,žurnalo įrašą,
Keyboard Shortcuts,Klaviatūros nuorodos,
Loan Amount,Paskolos suma,
Mobile Number,Mobilaus telefono numeris,
Name,vardas,
Naming Series,Pavadinimų serija,
Nationality,Tautybė,
Occupation,okupacija,
Order Type,pavedimo tipas,
Paid,Mokama,
Partially Paid,Iš dalies mokama,
Payment Date,Mokėjimo diena,
Percentage,Procentas,
Price,Kaina,
Principal Amount,Pagrindinė suma,
Products,Produktai,
Reload,Perkrauti,
Schedule,grafikas,
Section,Skyrius,
Section Name,Skyriaus pavadinimas,
Session Defaults,Sesijos numatytieji nustatymai,
Status,Statusas,
System Manager,sistemos direktorius,
Tax,mokestis,
Taxes,Mokesčiai,
Total Payment,bendras Apmokėjimas,
Type,tipas,
Unpaid,neapmokamas,
View Website,Peržiūrėti svetainė,
