Address,Адреса,
Amended From,Изменет Од,
Balance Loan Amount,Биланс на кредит Износ,
Bank Name,Име на банка,
Branch,Филијали,
Cancelled,Откажано,
Customer Name,Име на Клиент,
Disabled,Со посебни потреби,
Draft,Нацрт,
Email,Е-пошта,
Enabled,Овозможено,
Image,Слика,
Interest,интерес,
Interest Amount,Износот на каматата,
Is Accrued,Се стекнува,
Issuing Date,Датум на издавање,
Journal Entry,Весник Влегување,
Keyboard Shortcuts,Кратенки на тастатурата,
Loan Amount,Износ на кредитот,
Mobile Number,Мобилен број,
Name,Име,
Naming Series,Именување Серија,
Nationality,националност,
Occupation,професија,
Order Type,Цел Тип,
Paid,Платени,
Partially Paid,Делумно платено,
Payment Date,Датум за плаќање,
Percentage,Процент,
Price,Цена,
Principal Amount,главнината,
Products,Производи,
Reload,Вчитај ја страната повторно,
Schedule,Распоред,
Section,Дел,
Section Name,Име на делот,
Session Defaults,Сесија стандардно,
Status,Статус,
System Manager,Систем за менаџер,
Tax,Данок,
Taxes,Даноци,
Total Payment,Вкупно исплата,
Type,Тип,
Unpaid,Неплатени,
View Website,Преглед на веб-страница,
