Address,വിലാസം,
Amended From,നിന്ന് ഭേദഗതി,
Balance Loan Amount,ബാലൻസ് വായ്പാ തുക,
Bank Name,ബാങ്ക് പേര്,
Branch,ബ്രാഞ്ച്,
Cancelled,റദ്ദാക്കി,
Customer Name,ഉപഭോക്താവിന്റെ പേര്,
Disabled,രഹിതമായ,
Draft,ഡ്രാഫ്റ്റ്,
Email,ഇമെയിൽ,
Enabled,പ്രാപ്തമാക്കി,
Image,ചിത്രം,
Interest,പലിശ,
Interest Amount,പലിശ തുക,
Is Accrued,വർദ്ധിച്ചിരിക്കുന്നു,
Issuing Date,വിതരണം ചെയ്യുന്ന തീയതി,
Journal Entry,ജേർണൽ എൻട്രി,
Keyboard Shortcuts,കീബോർഡ് കുറുക്കുവഴികൾ,
Loan Amount,വായ്പാ തുക,
Mobile Number,മൊബൈൽ നമ്പർ,
Name,പേര്,
Naming Series,സീരീസ് നാമകരണം,
Nationality,പൗരതം,
Occupation,തൊഴില്,
Order Type,ഓർഡർ തരം,
Paid,പണമടച്ചു,
Partially Paid,ഭാഗികമായി പണമടച്ചു,
Payment Date,പേയ്മെന്റ് തീയതി,
Percentage,ശതമാനം,
Price,വില,
Principal Amount,പ്രിൻസിപ്പൽ തുക,
Products,ഉൽപ്പന്നങ്ങൾ,
Reload,വീണ്ടും ലോഡുചെയ്യുക,
Schedule,ഷെഡ്യൂൾ,
Section,വിഭാഗം,
Section Name,വിഭാഗത്തിന്റെ പേര്,
Session Defaults,സെഷൻ സ്ഥിരസ്ഥിതികൾ,
Status,അവസ്ഥ,
System Manager,സിസ്റ്റം മാനേജർ,
Tax,നികുതി,
Taxes,നികുതികൾ,
Total Payment,ആകെ പേയ്മെന്റ്,
Type,തരം,
Unpaid,ലഭിക്കാത്ത,
View Website,വെബ്സൈറ്റ് കാണുക,
