Address,Adres,
Amended From,Gewijzigd Van,
Balance Loan Amount,Balans Leningsbedrag,
Bank Name,Banknaam,
Branch,Tak,
Cancelled,Geannuleerd,
Customer Name,klantnaam,
Disabled,Uitgeschakeld,
Draft,Concept,
Email,E-mail,
Enabled,Ingeschakeld,
Image,Afbeelding,
Interest,Interesseren,
Interest Amount,Interestbedrag,
Is Accrued,Wordt opgebouwd,
Issuing Date,Afgifte datum,
Journal Entry,Journaalpost,
Keyboard Shortcuts,Toetsenbord sneltoetsen,
Loan Amount,Leenbedrag,
Mobile Number,Mobiel nummer,
Name,Naam,
Naming Series,Benoemen Series,
Nationality,Nationaliteit,
Occupation,Bezetting,
Order Type,Order Type,
Paid,Betaald,
Partially Paid,Gedeeltelijk betaald,
Payment Date,Betaaldatum,
Percentage,Percentage,
Price,Prijs,
Principal Amount,hoofdsom,
Products,producten,
Reload,Herladen,
Schedule,Plan,
Section,Sectie,
Section Name,sectie naam,
Session Defaults,Standaardwaarden sessie,
Status,Status,
System Manager,System Manager,
Tax,Belasting,
Taxes,Belastingen,
Total Payment,Totale betaling,
Type,Type,
Unpaid,onbetaald,
View Website,Bekijk Website,
