Address,Endereço,
Amended From,Alterado De,
Balance Loan Amount,Saldo Valor do Empréstimo,
Bank Name,Nome do banco,
Branch,Filial,
Cancelled,Cancelado,
Customer Name,nome do cliente,
Disabled,Desativado,
Draft,"Esboço, projeto",
Email,O email,
Enabled,Ativado,
Image,Imagem,
Interest,Juros,
Interest Amount,Montante de juros,
Is Accrued,É acumulado,
Issuing Date,Data de emissão,
Journal Entry,Lançamento Contabilístico,
Keyboard Shortcuts,Atalhos do teclado,
Loan Amount,Montante do empréstimo,
Mobile Number,Número de Telemóvel,
Name,Nome,
Naming Series,Série de Atrib. de Nomes,
Nationality,Nacionalidade,
Occupation,Ocupação,
Order Type,Tipo de Pedido,
Paid,Pago,
Partially Paid,Parcialmente pago,
Payment Date,Data de pagamento,
Percentage,Percentagem,
Price,Preço,
Principal Amount,Quantia principal,
Products,Produtos,
Reload,recarregar,
Schedule,Programar,
Section,Seção,
Section Name,Nome da Seção,
Session Defaults,Padrões de Sessão,
Status,Status,
System Manager,System Manager,
Tax,Imposto,
Taxes,Impostos,
Total Payment,Pagamento total,
Type,Tipo,
Unpaid,Não Pago,
View Website,Veja site,
