Address,Adresă,
Amended From,Modificat din,
Balance Loan Amount,Soldul Suma creditului,
Bank Name,Denumire bancă,
Branch,ramură,
Cancelled,Anulat,
Customer Name,Nume client,
Disabled,Dezactivat,
Draft,Proiect,
Email,E-mail,
Enabled,Activat,
Image,Imagine,
Interest,Interes,
Interest Amount,Suma Dobânda,
Is Accrued,Este acumulat,
Issuing Date,Data emiterii,
Journal Entry,Intrare în jurnal,
Keyboard Shortcuts,Comenzile rapide de la tastatură,
Loan Amount,Sumă împrumutată,
Mobile Number,Numar de mobil,
Name,Nume,
Naming Series,Naming Series,
Nationality,Naţionalitate,
Occupation,Ocupaţie,
Order Type,Tip comandă,
Paid,Plătit,
Partially Paid,Parțial plătit,
Payment Date,Data de plată,
Percentage,Procent,
Price,Preț,
Principal Amount,Sumă principală,
Products,Instrumente,
Reload,Reîncarcă,
Schedule,Program,
Section,Secțiune,
Section Name,Numele secțiunii,
Session Defaults,Valorile implicite ale sesiunii,
Status,Status,
System Manager,System Manager,
Tax,Impozite,
Taxes,Impozite,
Total Payment,Plată totală,
Type,Tip,
Unpaid,Neachitat,
View Website,Vezi site-ul,
