About,О системе,
Address,Адрес,
Amended From,Измененный С,
Balance Loan Amount,Баланс Сумма кредита,
Bank Name,Название банка,
Branch,Филиал,
Cancelled,Отменен,
Customer Name,Имя клиента,
Disabled,Отключено,
Documentation,Документация,
Draft,Черновик,
Email,Эл. адрес,
Enabled,Разрешено,
Image,Изображение,
Interest,Интерес,
Interest Amount,Сумма процентов,
Is Accrued,Начислено,
Issuing Date,Дата получения,
Journal Entry,Запись в журнале,
Keyboard Shortcuts,Горячие клавиши,
Loan Amount,Сумма кредита,
Mobile Number,Мобильный номер,
My Profile,Мой профиль,
My Settings,Мои настройки,
Name,Имя,
Naming Series,Идентификация по имени,
Nationality,Национальность,
Occupation,Род занятий,
Order Type,Тип заказа,
Paid,Оплачено,
Partially Paid,Частично оплачено,
Payment Date,Дата оплаты,
Percentage,Процент,
Price,Цена,
Principal Amount,Основная сумма,
Products,Продукты,
Reload,Обновить страницу,
Report an Issue,Сообщить об ошибке,
Schedule,Расписание,
Section,Раздел,
Section Name,Название раздела,
Session Defaults,Сеансы по умолчанию,
Status,Статус,
System Manager,Менеджер системы,
Tax,Налог,
Taxes,Налоги,
Toggle Full Width,Переключить ширину,
Toggle Theme,Переключить тему,
Total Payment,Всего к оплате,
Type,Тип,
Unpaid,Неоплачено,
User Forum,Форум пользователей,
View Website,Посмотреть сайт,
