Address,ලිපිනය,
Amended From,සංශෝධිත වන සිට,
Balance Loan Amount,ඉතිරි ණය මුදල,
Bank Name,බැංකුවේ නම,
Branch,ශාඛාව,
Cancelled,අවලංගු කළා,
Customer Name,පාරිභෝගිකයාගේ නම,
Disabled,ආබාධිත,
Draft,කෙටුම්පත,
Email,විද්යුත් තැපෑල,
Enabled,සක්රීය,
Image,රූප,
Interest,පොලී,
Interest Amount,පොලී මුදල,
Is Accrued,උපචිත වේ,
Issuing Date,දිනය නිකුත් කිරීම,
Journal Entry,ජර්නල් සටහන්,
Keyboard Shortcuts,යතුරුපුවරු කෙටිමං,
Loan Amount,ණය මුදල,
Mobile Number,ජංගම දූරකථන අංකය,
Name,නම,
Naming Series,ශ්රේණි අනුප්රාප්තිකයා නම් කිරීම,
Nationality,ජාතිය,
Occupation,රැකියාව,
Order Type,සාමය වර්ගය,
Paid,ගෙවුම්,
Partially Paid,අර්ධ වශයෙන් ගෙවනු ලැබේ,
Payment Date,ගෙවීමේ දිනය,
Percentage,ප්‍රතිශතය,
Price,මිල,
Principal Amount,විදුහල්පති මුදල,
Products,නිෂ්පාදන,
Reload,රීලෝඩ්,
Schedule,උපෙල්ඛනෙය්,
Section,අංශය,
Section Name,කොටස නම,
Session Defaults,සැසි පෙරනිමි,
Status,තත්ත්වය,
System Manager,පද්ධතිය කළමනාකරු,
Tax,බද්ද,
Taxes,බදු,
Total Payment,මුළු ගෙවීම්,
Type,වර්ගය,
Unpaid,නොගෙවූ,
View Website,දැක්ම වෙබ් අඩවිය,
