About,O Nama,
Address,Adresa,
Amended From,Izmijenjena iz,
Balance Loan Amount,Биланс Износ кредита,
Bank Name,Назив банке,
Branch,Филијала,
Cancelled,Otkazan,
Customer Name,Назив купца,
Disabled,Neaktivni,
Documentation,Документација,
Draft,Na čekanju,
Email,Email,
Enabled,Aktivan,
Frappe School,Frappe School,
Image,Slika,
Interest,Камата,
Interest Amount,Износ камате,
Is Accrued,Је обрачунато,
Issuing Date,Датум издавања,
Journal Entry,Налог књижења,
Keyboard Shortcuts,Пречице на тастатури,
Loan Amount,Износ позајмице,
Mobile Number,Број мобилног телефона,
My Settings,Moja podešavanja,
Name,Име,
Naming Series,Именовање Сериес,
Nationality,националност,
Occupation,занимање,
Order Type,Врста наруџбине,
Paid,Плаћено,
Partially Paid,Делимично плаћено,
Payment Date,Датум исплате,
Percentage,Проценат,
Price,Цена,
Principal Amount,Основицу,
Products,Производи,
Reload,Učitaj ponovo,
Report an Issue,Пријави проблем,
Schedule,Распоред,
Section,Одељак,
Section Name,Назив одељка,
Session Defaults,Задане поставке сесије,
Status,Status,
System Manager,Menadžer sistema,
Tax,Порез,
Taxes,Порези,
Total Payment,Укупан износ,
Type,Tip,
Unpaid,Неплаћено,
User Forum,Кориснички форум,
View Website,Pogledaj sajt,
