Address,Адреса,
Amended From,Измењена од,
Balance Loan Amount,Биланс Износ кредита,
Bank Name,Назив банке,
Branch,Филијала,
Cancelled,Отказано,
Customer Name,Назив купца,
Disabled,Онеспособљен,
Documentation,Документација,
Draft,Драфт,
Email,Емаил,
Enabled,Омогућено,
Frappe School,Frappe School,
Image,Слика,
Interest,Камата,
Interest Amount,Износ камате,
Is Accrued,Је обрачунато,
Issuing Date,Датум издавања,
Journal Entry,Налог књижења,
Keyboard Shortcuts,Пречице на тастатури,
Loan Amount,Износ позајмице,
Mobile Number,Број мобилног телефона,
Name,Име,
Naming Series,Именовање Сериес,
Nationality,националност,
Occupation,занимање,
Order Type,Врста наруџбине,
Paid,Плаћено,
Partially Paid,Делимично плаћено,
Payment Date,Датум исплате,
Percentage,Проценат,
Price,Цена,
Principal Amount,Основицу,
Products,Производи,
Reload,Релоад,
Report an Issue,Пријави проблем,
Schedule,Распоред,
Section,Одељак,
Section Name,Назив одељка,
Session Defaults,Задане поставке сесије,
Status,Статус,
System Manager,Систем менаџер,
Tax,Порез,
Taxes,Порези,
Total Payment,Укупан износ,
Type,Тип,
Unpaid,Неплаћено,
User Forum,Кориснички форум,
View Website,Погледај Сајт,
