About,Hakkında,
Address,Adres,
Amended From,Değiştirildi,
Apps,Uygulamalar,
Balance Loan Amount,Bakiye Kredi Miktarı,
Bank Name,Banka Adı,
Branch,Görev Bölümü,
Cancelled,İptal Edildi,
Customer Name,Müşteri Adı,
Disabled,Kapalı,
Documentation,Dökümantasyon,
Draft,Taslak,
Email,E-posta,
Enabled,Etkin,
Frappe Support,Frappe Desteği,
Image,Resim,
Interest,İlgi Alanı,
Interest Amount,Faiz Tutarı,
Is Accrued,Tahakkuk Edildi,
Issuing Date,Veriliş Tarihi,
Journal Entry,Defter Girişi,
Keyboard Shortcuts,Klavye Kısayolları,
Loan Amount,Kredi Tutarı,
Log out,Çıkış,
Mobile Number,Cep Numarası,
My Profile,Profilim,
My Settings,Ayarlarım,
Name,Adı,
Naming Series,Adlandırma Serisi,
Nationality,Uyruğu,
Occupation,Meslek,
Order Type,Sipariş Türü,
Paid,Ödenmiş,
Partially Paid,Kısmen Ödendi,
Payment Date,Ödeme Tarihi,
Percentage,Yüzde,
Posting date,Kayıt. Tarihi,
Price,Fiyat,
Principal Amount,anapara çiftleri,
Products,Ürünler,
Reload,Yeniden Yükle,
Report an Issue,Sorun Bildir,
Schedule,Planla,
Section,Bölüm,
Section Name,Bölüm Adı,
Session Defaults,Oturum Varsayılanları,
Status,Durum,
System Manager,Sistem Yöneticisi,
Tax,Vergi,
Taxes,Vergiler,
Toggle Full Width,Geniş Görünüm,
Toggle Theme,Temayı Değiştir,
Total Payment,Toplam Ödeme,
Type,Türü,
Unpaid,Ödenmemiş,
User Forum,Kullanıcı Forumu,
View Website,Websitesine Git,
