Address,پتہ,
Amended From,سے ترمیم شدہ,
Balance Loan Amount,بیلنس قرض کی رقم,
Bank Name,بینک کا نام,
Branch,برانچ,
Cancelled,منسوخ,
Customer Name,گاہک کا نام,
Disabled,معذور,
Draft,ڈرافٹ,
Email,ای میل,
Enabled,فعال,
Image,تصویر,
Interest,دلچسپی,
Interest Amount,سود کی رقم,
Is Accrued,اکھٹا ہوا ہے,
Issuing Date,جاری تاریخ,
Journal Entry,جرنل اندراج,
Keyboard Shortcuts,کی بورڈ شارٹ کٹس,
Loan Amount,قرضے کی رقم,
Mobile Number,موبائل فون کانمبر,
Name,نام,
Naming Series,نام سیریز,
Nationality,قومیت,
Occupation,کاروبار,
Order Type,آرڈر کی قسم,
Paid,ادائیگی,
Partially Paid,جزوی طور پر ادا,
Payment Date,ادائیگی کی تاریخ,
Percentage,پرسنٹیج,
Price,قیمت,
Principal Amount,اصل رقم,
Products,مصنوعات,
Reload,دوبارہ,
Schedule,شیڈول,
Section,سیکشن,
Section Name,سیکشن کا نام,
Session Defaults,سیشن ڈیفالٹس,
Status,سٹیٹس,
System Manager,سسٹم مینیجر,
Tax,ٹیکس,
Taxes,ٹیکسز,
Total Payment,کل ادائیگی,
Type,قسم,
Unpaid,بلا معاوضہ,
View Website,سائٹ,
