Address,Manzil,
Amended From,O&#39;zgartirishlar,
Balance Loan Amount,Kreditning qoldig&#39;i,
Bank Name,Bank nomi,
Branch,Filial,
Cancelled,BEKOR QILISH,
Customer Name,Xaridor nomi,
Disabled,O&#39;chirib qo&#39;yildi,
Draft,Loyihalar,
Email,E-pochta,
Enabled,Faol,
Image,Rasm,
Interest,Foiz,
Interest Amount,Foiz miqdori,
Is Accrued,Hisoblangan,
Issuing Date,Taqdim etilgan sana,
Journal Entry,Jurnalga kirish,
Keyboard Shortcuts,Klaviatura yorliqlari,
Loan Amount,Kredit miqdori,
Mobile Number,Mobil telefon raqami,
Name,Ism,
Naming Series,Namunaviy qator,
Nationality,Fuqarolik,
Occupation,Kasbingiz,
Order Type,Buyurtma turi,
Paid,To&#39;langan,
Partially Paid,Qisman to&#39;lanadi,
Payment Date,To&#39;lov sanasi,
Percentage,Foiz,
Price,Narxlari,
Principal Amount,Asosiy miqdori,
Products,Mahsulotlar,
Reload,Qayta yuklash,
Schedule,Jadval,
Section,Bo&#39;lim,
Section Name,Bo&#39;lim nomi,
Session Defaults,Sessiya standartlari,
Status,Holat,
System Manager,Tizim menejeri,
Tax,Soliq,
Taxes,Soliqlar,
Total Payment,Jami to&#39;lov,
Type,Turi,
Unpaid,Bepul emas,
View Website,Veb-saytni ko&#39;rish,
