About,关于,
Address,地址,
Amended From,修订源,
Apps,应用,
Balance Loan Amount,贷款额余额,
Bank Name,银行名称,
Branch,分支机构（分公司）,
Cancelled,取消,
Customer Name,客户名称,
Disabled,禁用,
Documentation,用户操作手册,
Draft,草案,
Email,电子邮件,
Enabled,已启用,
Frappe Support,Frappe支持,
Image,图像,
Interest,利息,
Interest Amount,利息总额,
Is Accrued,应计,
Issuing Date,发货日期,
Journal Entry,手工凭证,
Keyboard Shortcuts,键盘快捷键,
Loan Amount,贷款额度,
Log out,注销,
Mobile Number,手机号码,
My Profile,我的档案,
My Settings,我的设置,
Name,名称,
Naming Series,名录,
Nationality,国籍,
Occupation,职业,
Order Type,订单类型,
Paid,已付款,
Partially Paid,部分支付,
Payment Date,付款日期,
Percentage,百分比,
Price,价格,
Principal Amount,本金,
Products,产品,
Reload,重新载入,
Report an Issue,提交一个问题,
Schedule,计划任务,
Section,节,
Section Name,部分名称,
Session Defaults,会话默认值,
Status,状态,
System Manager,系统管理员,
Tax,税,
Taxes,税,
Toggle Full Width,切换全宽模式,
Toggle Theme,切换主题,
Total Payment,总付款,
Type,类型,
Unpaid,未付,
User Forum,用户论坛,
View Website,查看网站,
